Full Management address,Service Name,Service Number,Enrollment total,Max licensed positions total,Count Service Number,Owner name,Funder name,Company source link,Owner source link,Additional source if necessary,Methodology to link,Notes
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo ki Aorangi,40115,20,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo ki Ōhau,40125,24,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo ki Papatoetoe Whānau,20482,7,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo ki Pikitia,25066,26,37,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo Ki Puhinui,47658,35,42,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo ki Pukeroa Ōruawhata,40119,25,34,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo ki Rotokawa,40126,21,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo ki Whakarewarewa,40124,17,22,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo Kia Ngāwari,90304,21,27,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo Manaaki Tamariki,83066,27,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Ākina Te Reo,43001,16,18,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Āniwaniwa,45358,24,40,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Ao Te Rangi,55210,13,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Apanui ki Whakatāne,40154,23,40,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Arataki,40152,23,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Ariki,44003,13,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Arohanui ki Te Tangata Marae Trust,64031,27,33,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Ataahua,35034,10,16,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Atamārie,35001,23,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Atawhai,40130,23,35,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Atawhai,55152,13,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Atutahi,45888,13,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Awaruaiti,25433,0,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Awatea Hou,55190,25,37,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Awhina Te Kaahui Nohinohi,64015,31,50,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o E Tipu,55120,26,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o E Tipu E Rea Taraia,55102,23,35,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o E Tū Puritia,35002,18,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo O Hairini,40143,17,35,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hakota,40217,20,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hanana,52761,17,26,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hāpaitia,52792,28,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o He Maungarongo,41014,28,34,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo O Heretaunga,55103,24,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hinerangi,46612,20,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hinerupe,55121,10,16,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hinetearorangi,64002,31,38,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hineteiwaiwa,20583,48,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hoani Waititi Marae,20071,61,65,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Horohoro,41016,39,44,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Horouta,64027,20,28,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Houhora,18929,3,18,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hūmārie,25157,21,40,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Hūria,40150,15,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Iti A Rata,35012,23,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Iti Noa,55234,41,50,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kahu o Te Rangi,55358,18,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kaikaapo,52772,27,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kaikohe,18411,12,21,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kaitoki,55151,23,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kaitumutumu,35003,20,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kaiwhāiki,52728,20,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kākāriki,45266,7,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kamo,18228,9,22,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kareponia,18882,7,17,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kauri,40240,12,12,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kauriki,35005,28,29,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kautu Ki Te Rangi,52771,13,37,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kawakawa,18339,15,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kawakawa Mai Tawhiti,46474,12,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Keita Pūriri raua ko Hana Cotter,55269,12,18,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kemureti,35006,6,24,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kerepehi,35007,14,19,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o ki Tāmaki Rāwhiti,25299,18,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kia Tau Te Rangimārie,65617,11,21,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kimihia,40140,16,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kimihia te kupu,55159,19,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kimihia Te Mātauranga o Ngā Tūpuna,90300,31,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kiwitoa,25109,13,24,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kokohinau,40155,26,35,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kōpūāwai,65417,17,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Koriniti,52781,8,40,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kororipo,11557,15,33,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kotahitanga,64048,15,16,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kura Mahiao,52724,21,27,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Kutia,35008,28,35,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Makaurau Marae,46222,14,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kohanga Reo o Mana Tamariki,50099,46,50,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Manaakitia,18201,14,25,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Manaia,52711,24,30,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Manawanui,55347,30,40,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Mangakino,40195,4,20,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga reo o Mangaroa,55153,13,22,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Mangawhero,52729,34,33,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Mangawhero Te Whare Pōtiki,50119,37,33,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
"P O Box 38741, Wellington Mail Centre Lower Hutt 5045",Te Kōhanga Reo o Manu Kōrero,52750,22,40,1,Te Kōhanga Reo National Trust,Charity,https://nz.kompass.com/c/te-kohanga-reo-national-trust/nz008776/,,https://register.charities.govt.nz/Charity/CC11324,PO Box,
