service_number,service_name,telephone,email,service_address,street,suburb,town_city,service_type,definition,authority,x20_hours_ece,kme_peak_body,takiwa,equity_index_eqi,territorial_authority,urban_rural,regional_council,education_region,general_electorate,maori_electorate,neighbourhood_sa2_code,neighbourhood_sa2,ward,management_contact_name,full_management_address,management_postal_address,management_postal_suburb,management_postal_city,management_contact_phone,community_of_learning_id,community_of_learning_name,latitude,longitude,max_licenced_positions,max_under_2_s,age_0,age_1,age_2,age_3,age_4,age_5,total,european_pakeha,maori,pacific,asian,other
5012,Te Kamo Kindergarten,09-4350378,richard@nka.org.nz,"5 Farmer Street, Kamo Whangarei",5 Farmer Street,Kamo,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,106000,Kamo Central,Denby Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99182,Te Tai Raki Whangarei Kāhui Ako,-35.681472050000004,174.3043519,35,0,0,0,8,8,18,1,35,26,14,5,5,1
5013,Mairtown Free Kindergarten,09-4372742,richard@nka.org.nz,"21 Princes Street, Mairtown Whangarei",21 Princes Street,Mairtown,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,106800,Mairtown,Okara Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99181,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,-35.70637172,174.3229892,40,0,0,0,0,14,33,2,49,47,9,3,4,1
5014,Onerahi Free Kindergarten,09-4361688,richard@nka.org.nz,"6 Bayswater Place, Onerahi Whangarei",6 Bayswater Place,Onerahi,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,108100,Onerahi Park,Okara Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99181,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,-35.75174526,174.37148440000001,40,0,0,0,4,14,23,0,41,21,20,1,5,1
5015,Hikurangi Kindergarten,09-4338535,richard@nka.org.nz,"Park Street,  Hikurangi",Park Street,,Hikurangi,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Whangarei District,Small urban area,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,105200,Hikurangi,Hikurangi-Coastal Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99182,Te Tai Raki Whangarei Kāhui Ako,-35.60203834,174.286575,30,0,0,0,2,14,13,5,34,19,22,4,0,2
5016,Portland Kindergarten,09-4322533,richard@nka.org.nz,"12 Portland School Road,  Portland",12 Portland School Road,,Portland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Whangarei District,Rural other,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,107700,Otaika-Portland,Bream Bay Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99183,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 4,-35.79912663,174.3275815,29,0,0,0,0,11,25,0,36,28,14,2,1,2
5017,Raumanga Kindergarten,09-4381694,richard@nka.org.nz,"13 A Murdoch Crescent, Raumanga Whangarei",13 A Murdoch Crescent,Raumanga,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 2,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,107300,Raumanga,Okara Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99181,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,-35.74424185,174.3038265,30,0,0,0,4,12,14,1,31,14,24,5,5,0
5018,Parihaka Kindergarten,09-4389804,richard@nka.org.nz,"38 Kohe Street, Parahaki Whangarei",38 Kohe Street,Parahaki,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,107200,Riverside,Okara Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99181,Ngā Kura mo te ako o Whangarei Kāhui Ako Group 2,-35.72609702,174.3438798,40,0,0,0,9,20,20,1,50,44,16,2,3,0
5019,Tikipunga Free Kindergarten,09-4370053,richard@nka.org.nz,"8 Tania Place, Tikipunga Whangarei",8 Tania Place,Tikipunga,Whangarei,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 2,Whangarei District,Large urban area,Northland Region,Tai Tokerau,Whangarei,Te Tai Tokerau,106200,Tikipunga North,Denby Ward,Richard Storey,"P O Box 4005, Kamo Whangarei 0141",P O Box 4005,Kamo,Whangarei 0141,09-435 9099,99182,Te Tai Raki Whangarei Kāhui Ako,-35.68604382,174.3251355,40,0,0,0,1,19,14,1,35,13,27,0,7,1
5020,Wellsford Kindergarten,09-423 8281,wellsford@aka.org.nz,"Hazelmere Street,  Wellsford",Hazelmere Street,,Wellsford,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Auckland - Rodney,Small urban area,Auckland Region,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,110500,Wellsford,Rodney Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,,,-36.29879864,174.5230628,30,0,0,0,5,10,20,2,37,30,16,2,2,0
5021,Glamorgan Kindergarten,09-4735099,glamorgan@kaitiakikindergartens.org.nz,"37 Danbury Drive, Torbay Auckland",37 Danbury Drive,Torbay,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,117500,Glamorgan,Albany Ward,Tara Solomon,"P O Box 35223, Browns Bay North Shore City 0753",P O Box 35223,Browns Bay,North Shore City 0753,,99121,Oneroa Community of Learning,-36.7000433,174.7353366,40,0,0,0,1,19,28,4,52,43,5,1,15,5
5022,Orewa Beach Kindergarten,09-4264543,orewabeach@kaitiakikindergartens.org.nz,"Riverside Road,  Orewa",Riverside Road,,Orewa,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Large urban area,Auckland Region,Tāmaki Herenga Tāngata,Whangaparaoa,Te Tai Tokerau,112900,Orewa South,Albany Ward,Tara Solomon,"P O Box 35223, Browns Bay North Shore City 0753",P O Box 35223,Browns Bay,North Shore City 0753,,99069,Orewa Community of Learning,-36.59180453,174.6890085,40,0,0,0,0,12,37,0,49,38,11,5,7,3
5023,Mahurangi Kindergarten,09-4257096,mahurangi@kaitiakikindergartens.org.nz,"13 Albert Road,  Warkworth",13 Albert Road,,Warkworth,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Rodney,Small urban area,Auckland Region,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,111100,Warkworth West,Rodney Ward,Tara Solomon,"P O Box 35223, Browns Bay North Shore City 0753",P O Box 35223,Browns Bay,North Shore City 0753,,,,-36.39748353,174.6534644,40,0,0,0,3,17,26,1,47,47,6,1,2,1
5024,Rangitoto Kindergarten,09-4783355,rangitoto@kaitiakikindergartens.org.nz,"2 A Hythe Terrace, Mairangi Bay Auckland",2 A Hythe Terrace,Mairangi Bay,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,120500,Mairangi Bay North,Albany Ward,Tara Solomon,"P O Box 35223, Browns Bay North Shore City 0753",P O Box 35223,Browns Bay,North Shore City 0753,,99000,Mid Bays Community of Schools,-36.73653156,174.7489272,40,0,0,0,0,25,35,4,64,46,5,0,21,2
5025,Taiaotea Kindergarten,09-478 7795,brownsbay@kaitiakikindergartens.org.nz,"4 Woodlands Crescent, Browns Bay Auckland",4 Woodlands Crescent,Browns Bay,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,118300,Browns Bay Central,Albany Ward,Tara Solomon,"P O Box 35223, Browns Bay North Shore City 0753",P O Box 35223,Browns Bay,North Shore City 0753,,99000,Mid Bays Community of Schools,-36.71550938,174.7418107,40,0,,,,,,,,,,,,
5026,Torbay Kindergarten,09-473 9340,torbay@kaitiakikindergartens.org.nz,"141 Deep Creek Road, Torbay Auckland",141 Deep Creek Road,Torbay,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,East Coast Bays,Te Tai Tokerau,117200,Torbay,Albany Ward,Tara Solomon,"P O Box 35223, Browns Bay North Shore City 0753",P O Box 35223,Browns Bay,North Shore City 0753,,99121,Oneroa Community of Learning,-36.69917008,174.7506144,40,0,0,0,0,32,34,2,68,61,4,3,8,1
5027,Stanmore Bay Kindergarten,09-4248847,stanmorebay@kaitiakikindergartens.org.nz,"Waiora Road,  Stanmore Bay",Waiora Road,,Stanmore Bay,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Hibiscus and Bays,Large urban area,Auckland Region,Tāmaki Herenga Tāngata,Whangaparaoa,Te Tai Tokerau,114600,Stanmore Bay West,Albany Ward,Tara Solomon,"P O Box 35223, Browns Bay North Shore City 0753",P O Box 35223,Browns Bay,North Shore City 0753,,99095,Whangaparaoa Peninsula Kāhui Ako,-36.62438765,174.7284016,40,0,0,0,0,12,21,5,38,35,4,2,4,2
5028,Anchorage Park Kindergarten,09-5763138,anchoragepark@aka.org.nz,"9 Tiaka Place, Pakuranga Auckland",9 Tiaka Place,Pakuranga,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Pakuranga,Tamaki Makaurau,149000,Pakuranga West,Howick Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99098,Pakuranga West Kāhui Ako,-36.91912066,174.8669688,40,0,0,0,0,15,24,0,39,21,8,7,15,3
5029,Avondale Kindergarten,09-8289532,avondale@aka.org.nz,"195 Rosebank Road, Avondale Auckland",195 Rosebank Road,Avondale,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 3,Auckland - Whau,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Kelston,Tamaki Makaurau,132000,Avondale North (Auckland),Whau Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,,,-36.89019688,174.6874152,40,0,0,0,1,21,23,1,46,10,5,23,13,4
5030,Bairds Kindergarten,09-2747111,bairds@aka.org.nz,"4 Edward Avenue, Otara Auckland",4 Edward Avenue,Otara,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 1,Auckland - Otara-Papatoetoe,Major urban area,Auckland Region,Tāmaki Herenga Waka,Panmure-Otahuhu,Tamaki Makaurau,153500,Otara West,Manukau Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,,,-36.96009736,174.8663879,30,0,0,0,1,3,11,1,16,1,4,12,2,0
5031,Bayview Kindergarten,09-444 5540,bayview@aka.org.nz,"70 Bayview Road, Glenfield Auckland",70 Bayview Road,Glenfield,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Kaipatiki,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,Upper Harbour,Te Tai Tokerau,121400,Bayview West,North Shore Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99120,Kaipātiki Kāhui Ako,-36.7720879,174.7053844,40,0,0,0,6,16,14,0,36,23,7,2,8,6
5032,Belmont Bayswater Kindergarten,09-4456744,belmontbayswater@aka.org.nz,"1C Rosyth Avenue, Bayswater-Auckland Auckland",1C Rosyth Avenue,Bayswater-Auckland,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Devonport-Takapuna,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,129400,Bayswater,North Shore Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99048,Devonport-Takapuna Kāhui Ako,-36.81238723,174.7838988,40,0,0,0,8,14,18,1,41,29,2,1,9,5
5033,Beach Haven Kindergarten,09-483 8706,beachhaven@aka.org.nz,"179 Beach Haven Road, Beach Haven Auckland",179 Beach Haven Road,Beach Haven,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Kaipatiki,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,122400,Beach Haven East,North Shore Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99214,Te Ara Whetū Kāhui Ako,-36.79065239,174.6925722,40,0,0,0,3,21,23,2,49,36,12,3,9,1
5034,Birkenhead Kindergarten,09-480 9330,birkenhead@aka.org.nz,"97 A Mokoia Road, Birkenhead Auckland",97 A Mokoia Road,Birkenhead,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Kaipatiki,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,Northcote,Te Tai Tokerau,127400,Birkenhead South,North Shore Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,,,-36.81139989,174.7214402,40,0,0,0,0,12,37,1,50,32,3,2,17,4
5035,Blockhouse Bay Kindergarten,09-627 8042,blockhousebay@aka.org.nz,"5 Exminster Street, Blockhouse Bay Auckland",5 Exminster Street,Blockhouse Bay,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Whau,Major urban area,Auckland Region,Tāmaki Herenga Manawa,New Lynn,Tamaki Makaurau,138900,Blockhouse Bay South,Whau Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99012,Lynfield Kāhui Ako,-36.92185585,174.7023352,40,0,0,0,3,20,26,1,50,12,9,8,32,4
5036,Botany Downs Kindergarten,09-534 9025,botanydowns@aka.org.nz,"22 Maroubra Place, Howick Auckland",22 Maroubra Place,Howick,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Botany,Tamaki Makaurau,152900,Botany Downs East,Howick Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99119,Howick Coast Kāhui Ako,-36.91038664,174.9219191,40,0,0,0,3,14,31,2,50,32,2,5,19,2
5037,Sunnynook Kindergarten,09-410 5210,sunnynook@aka.org.nz,"50 Sunnynook Road, Glenfield Auckland",50 Sunnynook Road,Glenfield,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Devonport-Takapuna,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,121300,Sunnynook North,North Shore Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99188,Pupuke (Westlake) Community of Learning,-36.75485419,174.7436009,40,0,0,0,1,23,21,1,46,13,6,4,26,6
5038,Bucklands Beach Kindergarten,09-5346212,bucklandsbeach@aka.org.nz,"8 Oliver Road, Bucklands Beach Auckland",8 Oliver Road,Bucklands Beach,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Pakuranga,Tamaki Makaurau,148000,Eastern Beach,Howick Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,,,-36.87824379,174.9118488,40,0,0,0,9,9,17,1,36,13,2,0,23,1
5039,Cascades Kindergarten,09-5767466,cascades@aka.org.nz,"Lady Marie Drive, Pakuranga Auckland",Lady Marie Drive,Pakuranga,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Howick,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Pakuranga,Tamaki Makaurau,150700,Pakuranga Heights East,Howick Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99149,Te ara Mana-ā-Kura Kāhui Ako| Farm Cove Community of Learning,-36.90867291,174.8996019,40,0,0,0,5,19,18,0,42,21,6,5,20,5
5040,Ellerslie Kindergarten,09-579 0076,ellerslie@aka.org.nz,"122 Celtic Crescent, Ellerslie Auckland",122 Celtic Crescent,Ellerslie,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Orakei,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Maungakiekie,Tamaki Makaurau,144400,Ellerslie East,Orakei Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,,,-36.8905636,174.8223702,40,0,0,0,0,16,31,0,47,37,1,3,7,4
5042,Colwill Kindergarten,09-833 9794,colwill@aka.org.nz,"19 Kintara Drive, Massey Auckland",19 Kintara Drive,Massey,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 4,Auckland - Henderson-Massey,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,Upper Harbour,Te Tai Tokerau,122300,Royal Heights South,Waitakere Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99125,Te Kāhui Ako o Tiriwā,-36.83480228,174.6329111,30,0,0,0,1,15,14,1,31,7,8,7,12,4
5043,Remuera Kindergarten,09-520 1575,remuera@aka.org.nz,"Wairua Road, Remuera Auckland",Wairua Road,Remuera,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Orakei,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Epsom,Tamaki Makaurau,141000,Remuera South,Orakei Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,,,-36.88245029,174.8052658,40,0,0,0,3,15,20,0,38,17,2,1,20,3
5044,Onehunga Kindergarten,09-636 8057,,"17 A Cameron Street, Onehunga Auckland",17 A Cameron Street,Onehunga,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Maungakiekie-Tamaki,Major urban area,Auckland Region,Tāmaki Herenga Manawa,Maungakiekie,Tamaki Makaurau,145000,Onehunga Central,Maungakiekie-Tamaki Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99190,Te Iti Kahurangi Community of Learning,-36.91718413,174.7876949,40,0,0,0,1,18,27,1,47,26,6,10,13,3
5045,Devonport Kindergarten,09-445 3504,devonport@aka.org.nz,"43 Vauxhall Road, Devonport Auckland",43 Vauxhall Road,Devonport,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI > 5,Auckland - Devonport-Takapuna,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,North Shore,Te Tai Tokerau,134000,Cheltenham,North Shore Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99048,Devonport-Takapuna Kāhui Ako,-36.82488893,174.8034188,40,0,0,0,0,5,43,3,51,48,5,1,4,1
5046,Don Buck Kindergarten,09-8324899,donbuck@aka.org.nz,"124 A Don Buck Road, Massey Auckland",124 A Don Buck Road,Massey,Auckland,Free Kindergarten,,Community based,Yes,,Te Tai Raro,EQI 3,Auckland - Henderson-Massey,Major urban area,Auckland Region,Tāmaki Herenga Tāngata,Upper Harbour,Te Tai Tokerau,121700,Massey West,Waitakere Ward,Pauline Winter,"P O Box 6933, Wellesley Street Auckland 1141",P O Box 6933,Wellesley Street,Auckland 1141,09-3735636,99125,Te Kāhui Ako o Tiriwā,-36.85083287,174.6096482,35,0,0,0,5,11,14,3,33,13,10,12,5,0
