service_number,service_name.x,telephone,email,service_address,street,suburb,town_city,service_type,definition,x20_hours_ece,equity_index_eqi,education_region,management_contact_name,full_management_address.x,management_postal_address,management_postal_suburb,management_postal_city,management_contact_phone,latitude,longitude,max_licenced_positions,max_under_2_s,age_0,age_1,age_2,age_3,age_4,age_5,total,european_pakeha,maori,pacific,asian,other,full_management_address.y,service_name.y,enrollment_total,max_licensed_positions_total,owner_name,funder_name,company_source_link,owner_source_link,additional_source_if_necessary,methodology_to_link,notes
5144,Hamilton West Kindergarten,07-8394103,ceo@kindergarten.org.nz,"35 Horne Street, Hamilton Central Hamilton",35 Horne Street,Hamilton Central,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.80096512,175.2833485,40,0,0,0,14,5,25,3,47,31,10,5,15,1,"P O Box 4311,  Hamilton 3247",Hamilton West Kindergarten,47,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5145,Hillcrest Kindergarten,07-8563529,ceo@kindergarten.org.nz,"Masters Avenue, Hillcrest Hamilton",Masters Avenue,Hillcrest,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.79572154,175.3205867,43,0,0,0,3,16,27,4,50,31,10,1,13,4,"P O Box 4311,  Hamilton 3247",Hillcrest Kindergarten,50,43,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5146,Hukanui Kindergarten,07-8552410,ceo@kindergarten.org.nz,"52 Rutherford Street, Chartwell Hamilton",52 Rutherford Street,Chartwell,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.7482206,175.280256,40,0,0,0,10,15,22,1,48,37,7,2,7,2,"P O Box 4311,  Hamilton 3247",Hukanui Kindergarten,48,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5147,Insoll Kindergarten,07-8555740,ceo@kindergarten.org.nz,"65 Halberg Crescent, Hamilton Central Hamilton",65 Halberg Crescent,Hamilton Central,Hamilton,Free Kindergarten,,Yes,EQI 2,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.76018279,175.2930236,40,0,0,0,10,13,19,0,42,13,14,16,5,5,"P O Box 4311,  Hamilton 3247",Insoll Kindergarten,42,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5148,James Gray Kindergarten,07-8274714,ceo@kindergarten.org.nz,"18 Kingsley Street, Leamington Cambridge",18 Kingsley Street,Leamington,Cambridge,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.89931299,175.4821234,45,0,0,0,18,14,29,0,61,57,3,1,6,2,"P O Box 4311,  Hamilton 3247",James Gray Kindergarten,61,45,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5149,Jamieson Kindergarten,07-8492684,ceo@kindergarten.org.nz,"70 Storey Ave, Forest Lake Hamilton",70 Storey Ave,Forest Lake,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.77048053,175.2548251,37,0,0,0,13,10,29,1,53,40,23,8,4,2,"P O Box 4311,  Hamilton 3247",Jamieson Kindergarten,53,37,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5150,Leamington Kindergarten,07-8276680,ceo@kindergarten.org.nz,"49 Thompson Street, Leamington Cambridge",49 Thompson Street,Leamington,Cambridge,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.9081919,175.4733779,40,0,0,0,4,17,25,0,46,33,13,0,9,0,"P O Box 4311,  Hamilton 3247",Leamington Kindergarten,46,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5151,Melville Kindergarten,07-8435005,ceo@kindergarten.org.nz,"5 Trigg Place, Melville Hamilton",5 Trigg Place,Melville,Hamilton,Free Kindergarten,,Yes,EQI 1,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.80753912,175.2887737,40,0,0,0,7,17,16,1,41,14,24,6,6,2,"P O Box 4311,  Hamilton 3247",Melville Kindergarten,41,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5152,Miropiko Kindergarten,07-8556773,,"309 River Road, Claudelands Hamilton",309 River Road,Claudelands,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.77884213,175.2819089,40,0,0,0,12,13,21,0,46,34,8,4,4,4,"P O Box 4311,  Hamilton 3247",Miropiko Kindergarten,46,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5153,Newcastle Kindergarten,07-8248280,ceo@kindergarten.org.nz,"1 King Street,  Ngaruawahia",1 King Street,,Ngaruawahia,Free Kindergarten,,Yes,EQI 2,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.66002762,175.1517744,50,0,0,0,5,16,14,1,36,28,15,4,1,0,"P O Box 4311,  Hamilton 3247",Newcastle Kindergarten,36,50,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5154,Peachgrove Kindergarten,07-8566659,ceo@kindergarten.org.nz,"181 Galloway Street, Hamilton Central Hamilton",181 Galloway Street,Hamilton Central,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.79250378,175.3007521,40,0,0,0,12,14,15,0,41,21,15,4,11,3,"P O Box 4311,  Hamilton 3247",Peachgrove Kindergarten,41,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5155,Pukete Kindergarten,07-8493718,pukete@kindergarten.org.nz,"13 Cullimore Street, Pukete Hamilton",13 Cullimore Street,Pukete,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.74554701,175.2419023,40,0,0,0,6,19,21,0,46,35,15,3,9,2,"P O Box 4311,  Hamilton 3247",Pukete Kindergarten,46,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5156,Raglan Kindergarten,07-8258674,,"9 Stewart Street,  Raglan",9 Stewart Street,,Raglan,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.80286662,174.869775,40,0,0,0,6,22,24,2,54,46,16,3,4,1,"P O Box 4311,  Hamilton 3247",Raglan Kindergarten,54,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5157,St Andrews Kindergarten,07-8492597,ceo@kindergarten.org.nz,"5 Seamer Place, Te Rapa Hamilton",5 Seamer Place,Te Rapa,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.75318606,175.2552183,42,0,0,0,14,19,13,1,47,33,12,3,6,4,"P O Box 4311,  Hamilton 3247",St Andrews Kindergarten,47,42,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5158,Glenview Kindergarten,07-8437945,ceo@kindergarten.org.nz,"15 Te Anau Place, Glenview Hamilton",15 Te Anau Place,Glenview,Hamilton,Free Kindergarten,,Yes,EQI > 5,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.82055279,175.293033,45,0,0,0,14,20,13,0,47,34,14,4,8,3,"P O Box 4311,  Hamilton 3247",Glenview Kindergarten,47,45,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5159,Whitiora Kindergarten,07-8381614,ceo@kindergarten.org.nz,"45 Abbotsford Street, Whitiora Hamilton",45 Abbotsford Street,Whitiora,Hamilton,Free Kindergarten,,Yes,EQI 3,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.77908378,175.2696833,45,0,0,0,6,10,22,1,39,3,13,9,18,2,"P O Box 4311,  Hamilton 3247",Whitiora Kindergarten,39,45,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5551,Grasslands Kindergarten,07-8472908,ceo@kindergarten.org.nz,"17 Karen Crescent, Hamilton Central Hamilton",17 Karen Crescent,Hamilton Central,Hamilton,Free Kindergarten,,Yes,EQI 4,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.80075075,175.2495926,44,0,0,0,14,22,15,2,53,20,27,8,15,3,"P O Box 4311,  Hamilton 3247",Grasslands Kindergarten,53,44,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
5613,Crawshaw Kindergarten,07-8495656,ceo@kindergarten.org.nz,"Crawshaw Drive, Hamilton Central Hamilton",Crawshaw Drive,Hamilton Central,Hamilton,Free Kindergarten,,Yes,EQI 2,Waikato,Edna Frame,"P O Box 4311,  Hamilton 3247",P O Box 4311,,Hamilton 3247,07-856 4649,-37.77378134,175.2324049,40,0,0,0,8,14,24,3,49,17,36,14,3,2,"P O Box 4311,  Hamilton 3247",Crawshaw Kindergarten,49,40,Early Education Waikato Limited,Waikato Kindergarten Association,https://www.kindergarten.org.nz/contact-us/,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1634630,https://opencorporates.com/companies/nz/1634630,Waikato Kindergarten Association sourced through Early Education Waikato Limited,
10003,BestStart Botany Road,09-2738882,botany@best-start.org,"293 Botany Road, Golflands Auckland",293 Botany Road,Golflands,Auckland,Education & Care Service,,Yes,EQI > 5,Tāmaki Herenga Manawa,Jane  Burke,"P O Box 276177, Manukau City South Auckland 2241",P O Box 276177,Manukau City,South Auckland 2241,09-2504136,-36.92404158,174.9126859,104,24,5,15,27,20,27,2,96,39,11,12,40,9,"P O Box 276177, Manukau City South Auckland 2241",BestStart Botany Road,96,104,BestStart Educare Limited,Wright Family Foundation,https://best-start.org/contact-us,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1153668,,Website lists PO Box.,
10009,Busy Bees Kerikeri Preschool,09-4077700,,"9 Lanark Road,  Kerikeri",9 Lanark Road,,Kerikeri,Education & Care Service,,Yes,EQI 1,Tai Tokerau,Karyn Connelly,"P O Box 628,  Whangaparaoa 0949",P O Box 628,,Whangaparaoa 0949,,-35.2299669,173.9565714,45,0,0,0,1,16,17,3,37,23,16,2,6,2,"P O Box 628,  Whangaparaoa 0949",Busy Bees Kerikeri Preschool,37,45,Busy Bees,Eagle Superco Limited,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/6248733?backurl=H4sIAAAAAAAAAEXLMQ7CMAyF4dtkYSgMjBZiAAY6VGovYCUGIjVxsJ2i3p4iitje%2B6S%2FKXgnbTyngjkuSwnFPw5P6ISnmH3EcXMK1aNFzo6yRZuHuZDCsW3X3xta1YtwLV9eOpZyFk6w7oHBYQhCqv96hSvNL5YATg3FYOvGmKLBbu%2F0tmD4lBNmT6HDTCOYVHKJA8HP3%2FdD8cbGAAAA,,Traced Busy Bees through Provincial Education Group Limited to Eagle Superco Limited. PO Box on Busy Bees website.,,
10024,Play And Learn (King Street),09-2777872,jan@playandlearn.net.nz,"4 King Street, Papatoetoe Auckland",4 King Street,Papatoetoe,Auckland,Education & Care Service,,Yes,EQI 3,Tāmaki Herenga Waka,Janet Mary Beatson,"P O Box 203002, Waiau Pa South Auckland 2345",P O Box 203002,Waiau Pa,South Auckland 2345,09-2321981,-36.9846879,174.8641319,45,15,2,7,11,8,20,3,51,34,13,20,7,2,"P O Box 203002, Waiau Pa South Auckland 2345",Play And Learn (King Street),51,45,Play and Learn Early Education Centres Limited,Janet Mary Beatson,https://www.playandlearn.net.nz/data/uploads/assets/pdf/information_booklet.pdf,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/912977/detail?backurl=%2Fcompanies%2Fapp%2Fui%2Fpages%2Fcompanies%2F912977,,PO Box matches informational packet on website.,
10028,Starship Play Services: Outpatients,09-307 4949 Ext 25960,,"Level 11, Support Building Auckland City Hospital, Park Road, Grafton Auckland","Level 11, Support Building Auckland City Hospital, Park Road",Grafton,Auckland,Hospital Based,"Hospital Play, Recreation Programme",Yes,EQI 1,Tāmaki Herenga Manawa,Nicola Woollaston,"Attn: Nicola Woollaston, Starship Play Sevices Outpatients, Level 11 Allied Health, Support building, Auckland Hospital Auckland 1142","Attn: Nicola Woollaston, Starship Play Sevices Outpatients, Level 11 Allied Health, Support building",Auckland Hospital,Auckland 1142,09-3078987 Ext 25960,-36.86069533,174.7694251,35,35,,,,,,,,,,,,,"Attn: Nicola Woollaston, Starship Play Sevices Outpatients, Level 11 Allied Health, Support building, Auckland Hospital Auckland 1142",Starship Play Services: Outpatients,0,35,Starship Hospital,"Auckland District Health Board (ADHB), the Starship Children's Health Directorate, and Starship Allied Health",,https://ero.govt.nz/institution/10030/starship-play-service-day-stay-and-intensive-care,https://www.educationcounts.govt.nz/find-an-els/els/profile-and-contact-details?ece=10028,,Appears to be an ECE for sick kids in the hospital.
10030,Starship Play Service Day Stay and Intensive Care,09-307 4949 Ext 22800,,"Level 11, Support Building Auckland City Hospital, Park Road, Grafton Auckland","Level 11, Support Building Auckland City Hospital, Park Road",Grafton,Auckland,Hospital Based,"Hospital Play, Recreation Programme",Yes,EQI 1,Tāmaki Herenga Manawa,Nicola Woollaston,"Attn: Nicola Woollaston, Starship Play Sevices Outpatients, Level 11 Allied Health, Support building, Auckland Hospital Auckland 1142","Attn: Nicola Woollaston, Starship Play Sevices Outpatients, Level 11 Allied Health, Support building",Auckland Hospital,Auckland 1142,09-3078987 Ext 25960,-36.86069449,174.7694758,25,25,,,,,,,,,,,,,"Attn: Nicola Woollaston, Starship Play Sevices Outpatients, Level 11 Allied Health, Support building, Auckland Hospital Auckland 1142",Starship Play Service Day Stay and Intensive Care,0,25,Starship Hospital,"Auckland District Health Board (ADHB), the Starship Children's Health Directorate, and Starship Allied Health",,https://ero.govt.nz/institution/10030/starship-play-service-day-stay-and-intensive-care,https://www.educationcounts.govt.nz/find-an-els/els/profile-and-contact-details?ece=10028,,Appears to be an ECE for sick kids in the hospital.
10032,BestStart Marne Road Kindy,09-2996696,marne.kindy@best-start.org,"35 Marne Road,  Papakura",35 Marne Road,,Papakura,Education & Care Service,,Yes,EQI 3,Tāmaki Herenga Waka,Jane  Burke,"P O Box 276177, Manukau City South Auckland 2241",P O Box 276177,Manukau City,South Auckland 2241,09-2504136,-37.06652828,174.9500738,30,0,0,0,7,13,10,4,34,16,9,12,9,2,"P O Box 276177, Manukau City South Auckland 2241",BestStart Marne Road Kindy,34,30,BestStart Educare Limited,Wright Family Foundation,https://best-start.org/contact-us,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1153668,,Website lists PO Box.,
10034,BestStart Manuroa Road 1,09-2961441,manuroa@best-start.org,"14-18 Manuroa Road, Takanini Auckland",14-18 Manuroa Road,Takanini,Auckland,Education & Care Service,,Yes,EQI 4,Tāmaki Herenga Waka,Jane  Burke,"P O Box 276177, Manukau City South Auckland 2241",P O Box 276177,Manukau City,South Auckland 2241,09-2504136,-37.03925788,174.9176045,95,18,3,20,44,38,46,1,152,15,17,20,115,11,"P O Box 276177, Manukau City South Auckland 2241",BestStart Manuroa Road 1,152,95,BestStart Educare Limited,Wright Family Foundation,https://best-start.org/contact-us,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1153668,,Website lists PO Box.,
10046,BestStart Papatoetoe,09-2792922,papatoetoe@best-start.org,"472 Great South Road, Papatoetoe Auckland",472 Great South Road,Papatoetoe,Auckland,Education & Care Service,,Yes,EQI 3,Tāmaki Herenga Waka,Jane  Burke,"P O Box 276177, Manukau City South Auckland 2241",P O Box 276177,Manukau City,South Auckland 2241,09-2504136,-36.97697591,174.869788,45,15,1,9,11,8,11,0,40,4,4,15,21,5,"P O Box 276177, Manukau City South Auckland 2241",BestStart Papatoetoe,40,45,BestStart Educare Limited,Wright Family Foundation,https://best-start.org/contact-us,https://app.companiesoffice.govt.nz/companies/app/ui/pages/companies/1153668,,Website lists PO Box.,
